,Unnamed: 0,accuracy,precision,recall,f1_score,auc,loss,accuracy_test,loss_test,neurons,learning_rate,n_epochs,pseudoR2,pseudoR2_test
0,0,0.9114634394645692,0.9333333373069764,0.908108115196228,0.8989776968955994,0.901880145072937,0.25251927971839905,0.9116666913032532,0.2823250889778137,100.0,0.001,2000.0,0.6356916874214127,0.5926909942131728
0,0,0.7398374080657959,0.7352941036224365,0.5681818127632141,0.6449865102767944,0.7037337422370911,0.5167867541313171,0.7403333187103271,0.4724282324314117,100.0,0.001,2000.0,0.2544343126176447,0.3184301318952638
0,0,0.739593505859375,0.7142857313156128,0.7975460290908813,0.7803246974945068,0.7089920043945312,0.5497627854347229,0.7401666641235352,0.6175323724746704,100.0,0.001,2000.0,0.20685995578802197,0.10908910864239674
0,0,0.7815447449684143,0.8360655903816223,0.9488372206687928,0.8309233784675598,0.7391245365142822,0.347653865814209,0.7803333401679993,0.6089720726013184,100.0,0.001,2000.0,0.4984414918439636,0.12143901081820418
0,0,0.9802439212799072,0.9833333492279052,1.0,0.9884812831878662,0.9878048896789552,0.04185723140835762,0.9800000190734864,0.16236180067062378,100.0,0.001,2000.0,0.9396127798218207,0.7657614353426887
0,0,0.933170735836029,0.905555546283722,0.9702380895614624,0.9653489589691162,0.9207251071929932,0.19446539878845212,0.9333333373069764,0.19528767466545105,100.0,0.001,2000.0,0.7194457335434055,0.7182594402134165
0,0,0.8224390149116516,0.9150943160057068,0.7348484992980957,0.7325927615165709,0.8406385183334351,0.3264214992523193,0.8216666579246521,0.4903241395950317,100.0,0.001,2000.0,0.5290733217891385,0.2926117953780999
0,0,0.7727642059326172,0.7227272987365723,0.9190751314163208,0.8651813268661499,0.7193800806999207,0.4669367074966431,0.7733333110809326,0.6044124960899353,100.0,0.001,2000.0,0.32635272768557244,0.12801708923973032
0,0,0.8869105577468872,0.8333333134651184,0.9933775067329408,0.9646157026290894,0.8960175514221191,0.18213500082492828,0.8866666555404663,0.31730446219444275,100.0,0.001,2000.0,0.7372347375375687,0.5422264259401379
0,0,0.8505691289901733,0.9622641801834106,0.75,0.7451266050338745,0.8628048896789551,0.2253187596797943,0.8500000238418579,0.6112237572669983,100.0,0.001,2000.0,0.6749337427907086,0.118190516517382
0,0,0.8008130192756653,0.9499999880790709,0.27941176295280457,0.3640059232711792,0.6375507116317749,0.3529101014137268,0.8000000119209291,0.4863040149211884,100.0,0.001,2000.0,0.4908583468107952,0.29841160930880894
0,0,0.8832520246505737,0.9245283007621764,0.7777777910232544,0.8071096539497375,0.8659003973007202,0.2682768404483795,0.8833333253860474,0.3557869791984558,100.0,0.001,2000.0,0.6129583326997632,0.48670788949752297
0,0,0.7782113552093506,0.7444444298744202,0.8589743375778198,0.8337978720664978,0.7697650194168091,0.39580562710762013,0.7783333063125609,0.6603516936302185,100.0,0.001,2000.0,0.4289731846158902,0.04731388635705569
0,0,0.6784552931785583,0.6958763003349304,0.7894737124443054,0.7212072610855103,0.6660547256469727,0.5439201593399048,0.6783333420753479,0.6367255449295044,100.0,0.001,2000.0,0.21528908348078457,0.08139921392288108
0,0,0.8054471611976624,0.65625,0.4117647111415863,0.6210677027702332,0.6837940216064453,0.2849472463130951,0.8040000200271606,0.6291713714599609,100.0,0.001,2000.0,0.5889080208291317,0.09229758252540643
